rank,project_name,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
11,Open Standards for Data Guidebook,https://standards.theodi.org,64.7,64.7,0,1.0,LOW,LOW,criteria,"Open Standards for Data Guidebook scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. The interoperability architecture scores well: open standards and data portability are how infrastructure stays honest — no lock-in, no single point of control."
12,Murmurations Protocol,https://murmurations.network,62.8,58.8,4,0.75,LOW,LOW,criteria,Murmurations Protocol covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
13,mySociety Datasets and APIs,https://data.mysociety.org,62.7,62.7,0,1.0,LOW,HIGH,criteria,"mySociety Datasets and APIs scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. High popularity risk: mySociety Datasets and APIs is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
14,Loomio,https://www.loomio.org,62.7,62.7,0,1.0,LOW,MEDIUM,criteria,"Loomio scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
15,Matrix,https://matrix.org,60.9,56.9,4,1.0,LOW,MEDIUM,criteria,"Matrix covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. The interoperability architecture scores well: open standards and data portability are how infrastructure stays honest — no lock-in, no single point of control."
16,Open Collective,https://opencollective.com,60.9,56.9,4,0.75,LOW,MEDIUM,criteria,"Open Collective demonstrates what I mean by collective ownership being technically viable — the governance architecture gives communities actual decision-making rights over the infrastructure, not just advisory input."
17,dDocs,https://ddocs.new/,59.9,55.9,4,0.5,MEDIUM,NONE,criteria,dDocs covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
18,Logos,https://logos.co/,59.0,52.0,7,0.83,LOW,LOW,criteria,"Logos scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
19,CharmVerse,https://charmverse.io/,58.9,54.9,4,0.75,LOW,LOW,criteria,"CharmVerse applies programmable, verifiable mechanisms to governance — this is precisely what I mean by 'programmable governance': not just a platform with governance features, but mechanisms where the rules are encoded and auditable. The extractive or surveillance dimension here is what pulls the score down — I can't endorse a model that extracts from communities without redistributing governance."
20,RxC Voice,https://github.com/radicalxchange/rxc-voice,58.9,54.9,4,0.75,LOW,LOW,criteria,"RxC Voice scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
21,Interoperable Deliberative Tools,https://metagov.org/projects/interop,58.8,58.8,0,0.75,LOW,LOW,criteria,"Interoperable Deliberative Tools scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
22,Decidim,https://decidim.org,57.8,57.8,0,1.0,LOW,HIGH,criteria,"Decidim scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. High popularity risk: Decidim is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
23,CONSUL Democracy,https://consulproject.org,56.9,56.9,0,1.0,LOW,MEDIUM,criteria,"CONSUL Democracy scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
24,HURIDOCS,https://github.com/huridocs,56.9,56.9,0,1.0,LOW,MEDIUM,criteria,"There's genuine transparency infrastructure in HURIDOCS — the core function is making financial or resource flows visible and actionable, which aligns with my central conviction that budget transparency is a precondition for legitimate decision-making."
25,Mozilla Data Collective,https://datacollective.mozillafoundation.org/,56.1,45.1,11,0.83,LOW,LOW,criteria,Mozilla Data Collective explicitly serves communities that traditional financial and governance systems don't reach. That's not a marketing claim here — the design is structured around the specific exclusion gap. The explicit focus on financially or governmentally excluded communities earns a boost — this is the kind of work that my constitution is most designed to surface.
26,Nym,https://nymtech.net,56.0,52.0,4,0.75,LOW,LOW,criteria,Nym covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
27,Alaveteli,https://alaveteli.org,55.9,55.9,0,1.0,LOW,HIGH,criteria,"Alaveteli scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. High popularity risk: Alaveteli is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
28,Citizen OS,https://citizenos.com/platform/,55.9,55.9,0,1.0,LOW,MEDIUM,criteria,"Citizen OS scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
29,NumFOCUS,https://numfocus.org,55.9,55.9,0,0.83,LOW,MEDIUM,criteria,NumFOCUS covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
30,Open Council Network,https://opencouncil.network,55.9,55.9,0,1.0,LOW,LOW,criteria,"Open Council Network scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
31,ClimateAction.Tech,https://climateaction.tech,55.1,46.1,9,0.75,LOW,LOW,criteria,ClimateAction.Tech covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
32,LittleSis,https://littlesis.org,55.0,51.0,4,0.92,LOW,MEDIUM,criteria,"LittleSis scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
33,Your Priorities,https://yrpri.org,54.9,54.9,0,1.0,LOW,MEDIUM,criteria,"Your Priorities scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
34,Snowdrift.coop,https://snowdrift.coop,54.0,50.0,4,0.83,LOW,MEDIUM,criteria,Snowdrift.coop covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
35,adhocracy+,https://adhocracy.plus,53.9,53.9,0,1.0,LOW,LOW,criteria,"adhocracy+ scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
36,CiviCRM,https://civicrm.org,53.9,53.9,0,1.0,LOW,HIGH,criteria,"CiviCRM scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. High popularity risk: CiviCRM is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
37,Fairbnb.coop,https://fairbnb.coop,53.9,53.9,0,0.83,LOW,LOW,criteria,Fairbnb.coop covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
38,Open Supply Hub,https://opensupplyhub.org,53.9,53.9,0,1.0,LOW,MEDIUM,criteria,Open Supply Hub covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
39,Pursuance Project,https://pursuanceproject.org,53.9,53.9,0,0.75,LOW,MEDIUM,criteria,"Pursuance Project scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
40,Talk to the City,https://talktothecity.org,53.9,53.9,0,1.0,LOW,LOW,criteria,"Talk to the City scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
41,ОПОРА (Opora),https://www.oporaua.org,53.0,48.0,5,1.0,LOW,MEDIUM,criteria,"ОПОРА (Opora) scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
42,CommunityRule,https://communityrule.info,52.9,52.9,0,1.0,LOW,MEDIUM,criteria,"CommunityRule scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
43,PlaceCal,https://github.com/geeksforsocialchange/placecal,52.9,52.9,0,0.75,LOW,MEDIUM,criteria,"PlaceCal scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
44,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,52.9,52.9,0,1.0,LOW,LOW,criteria,Political Advertising Transparency Data Standard covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
45,OpenSanctions,https://www.opensanctions.org,52.9,52.9,0,1.0,LOW,LOW,criteria,OpenSanctions covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
46,Mastodon,https://github.com/mastodon/mastodon,52.1,43.1,9,1.0,LOW,HIGH,criteria,"Mastodon covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: Mastodon is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
47,Creative Commons,https://creativecommons.org,52.0,52.0,0,1.0,LOW,HIGH,criteria,"Creative Commons covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: Creative Commons is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
48,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,52.0,52.0,0,0.75,LOW,MEDIUM,criteria,"Rahvaalgatus scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
49,Parti,https://parti.xyz,52.0,52.0,0,1.0,LOW,MEDIUM,criteria,"Parti scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
50,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,52.0,52.0,0,1.0,LOW,HIGH,criteria,"Humanitarian OpenStreetMap Team (HOT) scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. High popularity risk: Humanitarian OpenStreetMap Team (HOT) is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
51,Open Contracting Partnership,https://www.open-contracting.org,52.0,52.0,0,1.0,LOW,HIGH,criteria,"The budget and treasury transparency work here is exactly what I mean when I say financial transparency should be democratic infrastructure — Open Contracting Partnership makes public money legible to those it belongs to, not just to administrators. High popularity risk: Open Contracting Partnership is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
52,Ushahidi,https://www.ushahidi.com,52.0,52.0,0,1.0,LOW,MEDIUM,criteria,"Ushahidi scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
53,DAO Governance Surfaces,https://github.com/notchia/dao-governance-surfaces,51.2,38.2,13,0.75,LOW,LOW,modifier,"DAO Governance Surfaces applies programmable, verifiable mechanisms to governance — this is precisely what I mean by 'programmable governance': not just a platform with governance features, but mechanisms where the rules are encoded and auditable. The on-chain or cryptographically verifiable component gets a meaningful boost from me — this is the rare case where 'programmable governance' isn't just a marketing claim."
54,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,51.1,46.1,5,1.0,LOW,MEDIUM,criteria,"Tactical Data Engagement scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
55,Turkopticon,https://turkopticon.ucsd.edu,51.1,47.1,4,0.92,LOW,MEDIUM,criteria,Turkopticon covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
56,Papertree,https://www.papertree.earth,51.1,47.1,4,0.58,MEDIUM,NONE,criteria,"There's genuine transparency infrastructure in Papertree — the core function is making financial or resource flows visible and actionable, which aligns with my central conviction that budget transparency is a precondition for legitimate decision-making."
57,Constitute Project,https://constituteproject.org,51.0,51.0,0,1.0,LOW,MEDIUM,criteria,"Constitute Project scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
58,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,51.0,51.0,0,1.0,LOW,LOW,criteria,"Cybersecurity for Democracy scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
59,Participa (Podemos),https://github.com/podemos-info/participa,51.0,51.0,0,0.92,LOW,MEDIUM,criteria,"Participa (Podemos) scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
60,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,51.0,51.0,0,1.0,LOW,MEDIUM,criteria,"Stanford Participatory Budgeting Platform scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
61,One Project,https://oneproject.org/,51.0,51.0,0,0.75,LOW,LOW,criteria,"One Project scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
62,Open Digital Planning,https://opendigitalplanning.org/,51.0,51.0,0,1.0,LOW,LOW,criteria,Open Digital Planning covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
63,Awesome UK Government Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,50.1,47.1,3,0.92,LOW,LOW,criteria,Awesome UK Government Datasets covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
64,All Our Ideas,https://all-our-ideas.citizens.is,50.0,50.0,0,0.75,LOW,MEDIUM,criteria,"All Our Ideas scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
65,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,50.0,50.0,0,1.0,LOW,MEDIUM,criteria,"Fundación Ciudadanía Inteligente scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
66,CoTech,https://coops.tech,50.0,50.0,0,0.75,LOW,MEDIUM,criteria,"CoTech scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
67,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,50.0,50.0,0,1.0,LOW,MEDIUM,criteria,"Democracy Club Developer API scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
68,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,50.0,50.0,0,1.0,LOW,MEDIUM,criteria,"vTaiwan scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
69,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,50.0,50.0,0,1.0,LOW,LOW,criteria,UK Housing Data Standards covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
70,OpenProcurement,https://openprocurement.io,50.0,50.0,0,1.0,LOW,MEDIUM,criteria,"There's genuine transparency infrastructure in OpenProcurement — the core function is making financial or resource flows visible and actionable, which aligns with my central conviction that budget transparency is a precondition for legitimate decision-making."
71,Principles for Public Participation in Procurement of AI,https://p4ai.net,50.0,50.0,0,0.83,LOW,LOW,criteria,"Principles for Public Participation in Procurement of AI scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
72,Participedia,https://participedia.net,50.0,50.0,0,0.92,LOW,MEDIUM,criteria,"Participedia scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
73,GovTrack.us,https://www.govtrack.us,50.0,50.0,0,1.0,LOW,MEDIUM,criteria,"GovTrack.us scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
74,Bluesky Social,https://github.com/bluesky-social,49.1,45.1,4,0.75,LOW,HIGH,criteria,"Bluesky Social covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: Bluesky Social is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
75,Activist Handbook,https://activisthandbook.org/,49.0,49.0,0,0.75,LOW,LOW,criteria,"Activist Handbook scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
76,Kialo,https://kialo.com,49.0,49.0,0,0.75,LOW,MEDIUM,criteria,"Kialo scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
77,Manifold Markets,https://manifold.markets,49.0,49.0,0,0.75,LOW,LOW,criteria,"Manifold Markets scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
78,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,49.0,49.0,0,0.75,LOW,LOW,criteria,"New_ Public Roundabout scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
79,PolicyEngine,https://policyengine.org/uk,49.0,49.0,0,1.0,LOW,LOW,criteria,PolicyEngine covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
80,Internet Archive Wayback Machine,https://web.archive.org,49.0,49.0,0,1.0,LOW,MEDIUM,criteria,Internet Archive Wayback Machine covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
